timestamp,step,qed,logp,l2_distance
2026-04-28T18:21:18Z,48,0.9214,0.9387,0.0624
2026-04-28T18:21:18Z,49,0.929,0.9453,0.0618
2026-04-28T18:21:18Z,50,0.9361,0.9514,0.0613
2026-04-28T18:21:18Z,51,0.9425,0.9569,0.0608
2026-04-28T18:21:18Z,52,0.9483,0.9619,0.0602
2026-04-28T18:21:18Z,53,0.9541,0.9669,0.0597
2026-04-28T18:21:18Z,54,0.9596,0.9717,0.0591
2026-04-28T18:21:18Z,55,0.9649,0.9763,0.0586
2026-04-28T18:21:18Z,56,0.9699,0.9807,0.0581
2026-04-28T18:21:18Z,57,0.9746,0.9848,0.0576
2026-04-28T18:21:18Z,58,0.9793,0.9889,0.0571
2026-04-28T18:21:18Z,59,0.9841,0.9931,0.0566
2026-04-28T18:21:18Z,60,0.9891,0.9973,0.0561
2026-04-28T18:21:18Z,61,0.9941,1.0017,0.0556
2026-04-28T18:21:18Z,62,0.9994,1.0063,0.0552
2026-04-28T18:21:18Z,63,1.0048,1.011,0.0547
2026-04-28T18:21:18Z,64,1.0103,1.016,0.0542
2026-04-28T18:21:18Z,65,1.0159,1.0209,0.0537
2026-04-28T18:21:18Z,66,1.0216,1.0259,0.0533
2026-04-28T18:21:18Z,67,1.027,1.0308,0.0529
2026-04-28T18:21:18Z,68,1.0321,1.0352,0.0524
2026-04-28T18:21:18Z,69,1.0364,1.0391,0.052
2026-04-28T18:21:18Z,70,1.0402,1.0425,0.0517
2026-04-28T18:21:18Z,71,1.0435,1.0455,0.0513
2026-04-28T18:21:18Z,72,1.0467,1.0484,0.0509
2026-04-28T18:21:18Z,73,1.0498,1.0511,0.0506
2026-04-28T18:21:18Z,74,1.0528,1.0537,0.0502
2026-04-28T18:21:27Z,0,2.7953,2.5642,0.0172
2026-04-28T18:21:27Z,1,2.3641,2.1899,0.0248
2026-04-28T18:21:27Z,2,2.0097,1.8826,0.0323
2026-04-28T18:21:27Z,3,1.702,1.6168,0.0388
2026-04-28T18:21:27Z,4,1.4403,1.39,0.0443
2026-04-28T18:21:27Z,5,1.231,1.207,0.049
2026-04-28T18:21:27Z,6,1.068,1.0644,0.0531
2026-04-28T18:21:27Z,7,0.9499,0.9609,0.0568
2026-04-28T18:21:27Z,8,0.872,0.8924,0.0601
2026-04-28T18:21:27Z,9,0.8244,0.8501,0.0631
2026-04-28T18:21:27Z,10,0.7986,0.8268,0.0658
2026-04-28T18:21:27Z,11,0.7839,0.8135,0.0681
2026-04-28T18:21:27Z,12,0.7747,0.8057,0.0702
2026-04-28T18:21:27Z,13,0.7688,0.801,0.072
2026-04-28T18:21:27Z,14,0.7633,0.7965,0.0735
2026-04-28T18:21:27Z,15,0.7582,0.7922,0.0747
2026-04-28T18:21:27Z,16,0.7546,0.789,0.0758
2026-04-28T18:21:27Z,17,0.754,0.7882,0.0767
2026-04-28T18:21:27Z,18,0.7545,0.7883,0.0774
2026-04-28T18:21:27Z,19,0.7578,0.7909,0.0781
2026-04-28T18:21:27Z,20,0.7631,0.7955,0.0786
2026-04-28T18:21:27Z,21,0.7707,0.8023,0.0791
2026-04-28T18:21:27Z,22,0.7785,0.8093,0.0795
2026-04-28T18:21:27Z,23,0.7839,0.8144,0.0798
2026-04-28T18:21:27Z,24,0.7863,0.8168,0.08
2026-04-28T18:21:27Z,25,0.7864,0.8172,0.0802
2026-04-28T18:21:27Z,26,0.7862,0.8174,0.0803
2026-04-28T18:21:27Z,27,0.7873,0.8185,0.0803
2026-04-28T18:21:27Z,28,0.7902,0.8212,0.0802
2026-04-28T18:21:27Z,29,0.796,0.8264,0.0801
2026-04-28T18:21:27Z,30,0.8045,0.834,0.0799
2026-04-28T18:21:27Z,31,0.8153,0.8435,0.0797
2026-04-28T18:21:27Z,32,0.827,0.8538,0.0795
2026-04-28T18:21:27Z,33,0.8374,0.863,0.0793
2026-04-28T18:21:27Z,34,0.8462,0.8707,0.079
2026-04-28T18:21:27Z,35,0.8526,0.8763,0.0787
2026-04-28T18:21:27Z,36,0.8567,0.8798,0.0784
2026-04-28T18:21:27Z,37,0.8593,0.882,0.078
2026-04-28T18:21:27Z,38,0.8611,0.8836,0.0776
2026-04-28T18:21:27Z,39,0.8633,0.8854,0.0773
2026-04-28T18:21:27Z,40,0.8663,0.8882,0.0769
2026-04-28T18:21:27Z,41,0.8703,0.8919,0.0765
2026-04-28T18:21:27Z,42,0.8748,0.896,0.0762
2026-04-28T18:21:27Z,43,0.8787,0.8996,0.0758
2026-04-28T18:21:27Z,44,0.8816,0.9024,0.0754
2026-04-28T18:21:27Z,45,0.8834,0.9042,0.075
2026-04-28T18:21:27Z,46,0.8845,0.9055,0.0746
2026-04-28T18:21:27Z,47,0.8855,0.9067,0.0741
2026-04-28T18:21:27Z,48,0.8871,0.9084,0.0737
2026-04-28T18:21:27Z,49,0.8896,0.9109,0.0732
2026-04-28T18:21:27Z,50,0.8936,0.9145,0.0727
2026-04-28T18:21:27Z,51,0.8986,0.9191,0.0722
2026-04-28T18:21:27Z,52,0.9045,0.9244,0.0717
2026-04-28T18:21:27Z,53,0.9109,0.9302,0.0712
2026-04-28T18:21:27Z,54,0.9177,0.9363,0.0707
2026-04-28T18:21:27Z,55,0.9247,0.9426,0.0702
2026-04-28T18:21:27Z,56,0.9321,0.9492,0.0696
2026-04-28T18:21:27Z,57,0.9398,0.9559,0.0691
2026-04-28T18:21:27Z,58,0.9474,0.9625,0.0686
2026-04-28T18:21:27Z,59,0.9545,0.9687,0.0681
2026-04-28T18:21:27Z,60,0.9608,0.9742,0.0675
2026-04-28T18:21:27Z,61,0.9657,0.9784,0.067
2026-04-28T18:21:27Z,62,0.9699,0.9821,0.0665
2026-04-28T18:21:27Z,63,0.9741,0.9856,0.066
2026-04-28T18:21:27Z,64,0.9786,0.9895,0.0655
2026-04-28T18:21:27Z,65,0.9838,0.9939,0.065
2026-04-28T18:21:27Z,66,0.9892,0.9984,0.0645
2026-04-28T18:21:27Z,67,0.9946,1.003,0.064
2026-04-28T18:21:27Z,68,0.9997,1.0074,0.0635
2026-04-28T18:21:27Z,69,1.0043,1.0114,0.063
2026-04-28T18:21:27Z,70,1.0088,1.0152,0.0625
2026-04-28T18:21:27Z,71,1.0133,1.0191,0.062
2026-04-28T18:21:27Z,72,1.0181,1.0234,0.0616
2026-04-28T18:21:27Z,73,1.0235,1.0281,0.0611
2026-04-28T18:21:27Z,74,1.0292,1.0331,0.0606
2026-04-28T18:21:40Z,0,2.2502,2.0938,0.0191
2026-04-28T18:21:40Z,1,1.8852,1.7772,0.0253
2026-04-28T18:21:40Z,2,1.5849,1.5164,0.0319
